성별,연령,키,몸무게학업성적,경제상태,건강인지,운동일수,스트레스인지,피로회복정도,음주경험,흡연경험,주중_인터넷이용시간,주말_인터넷이용시간
2.0,13.0,154.0,50.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,120.0,180.0
2.0,12.0,161.0,47.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,120.0,60.0
2.0,13.0,161.0,44.3,2.0,2.0,2.0,5.0,3.0,1.0,1.0,120.0,180.0
2.0,13.0,163.7,52.0,1.0,2.0,1.0,8.0,3.0,2.0,1.0,0.0,0.0
2.0,13.0,156.0,44.0,3.0,2.0,1.0,8.0,2.0,1.0,1.0,20.0,0.0
2.0,13.0,166.7,62.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,120.0,240.0
2.0,12.0,169.0,45.4,4.0,2.0,2.0,1.0,3.0,1.0,1.0,450.0,600.0
2.0,12.0,157.0,42.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,120.0,120.0
1.0,12.0,155.0,55.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,120.0,0.0
1.0,13.0,171.0,54.0,1.0,1.0,1.0,8.0,3.0,1.0,1.0,90.0,180.0
1.0,13.0,172.4,57.0,2.0,2.0,1.0,5.0,4.0,1.0,1.0,120.0,180.0
2.0,13.0,161.0,50.6,3.0,2.0,2.0,5.0,3.0,1.0,1.0,10.0,30.0
2.0,12.0,161.0,48.0,2.0,2.0,2.0,6.0,3.0,1.0,1.0,120.0,120.0
1.0,13.0,163.0,47.0,3.0,2.0,2.0,5.0,1.0,1.0,1.0,240.0,0.0
2.0,13.0,156.0,57.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,150.0,150.0
2.0,12.0,157.0,47.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,0.0,120.0
2.0,13.0,148.0,40.0,4.0,3.0,2.0,1.0,3.0,1.0,1.0,80.0,20.0
1.0,12.0,171.0,77.0,3.0,2.0,1.0,8.0,4.0,1.0,1.0,0.0,0.0
1.0,13.0,164.4,55.0,2.0,1.0,1.0,6.0,4.0,1.0,1.0,240.0,300.0
1.0,13.0,161.3,43.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0
1.0,12.0,178.0,63.5,1.0,1.0,2.0,4.0,1.0,1.0,1.0,120.0,120.0
1.0,13.0,162.4,53.6,3.0,3.0,3.0,4.0,4.0,1.0,1.0,150.0,300.0
1.0,12.0,157.8,47.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,180.0,240.0
1.0,12.0,157.0,39.0,2.0,2.0,1.0,8.0,1.0,1.0,1.0,240.0,120.0
2.0,13.0,160.3,46.0,3.0,3.0,2.0,1.0,4.0,1.0,1.0,0.0,10.0
1.0,14.0,177.0,51.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,30.0,20.0
1.0,14.0,169.0,75.0,4.0,3.0,3.0,4.0,4.0,1.0,1.0,360.0,240.0
2.0,14.0,155.0,43.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,60.0,120.0
1.0,13.0,174.5,76.0,4.0,3.0,2.0,6.0,1.0,2.0,1.0,40.0,60.0
2.0,13.0,145.0,40.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,60.0,60.0
2.0,14.0,161.0,50.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,60.0,60.0
1.0,12.0,173.9,53.8,3.0,5.0,2.0,8.0,5.0,2.0,1.0,120.0,120.0
1.0,14.0,167.0,38.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,120.0,240.0
1.0,14.0,174.2,53.0,2.0,1.0,1.0,7.0,2.0,1.0,1.0,0.0,40.0
1.0,13.0,160.3,56.7,4.0,4.0,3.0,1.0,3.0,2.0,1.0,240.0,360.0
1.0,14.0,162.0,65.0,3.0,2.0,2.0,5.0,4.0,1.0,1.0,90.0,120.0
1.0,13.0,149.3,40.3,2.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0
2.0,14.0,161.0,48.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,180.0,240.0
1.0,14.0,168.7,50.4,1.0,2.0,2.0,4.0,3.0,1.0,1.0,180.0,120.0
2.0,13.0,157.0,48.0,3.0,3.0,1.0,3.0,4.0,1.0,1.0,250.0,210.0
1.0,13.0,165.5,77.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,160.0,190.0
2.0,13.0,167.0,59.0,3.0,2.0,4.0,1.0,1.0,2.0,2.0,360.0,420.0
2.0,13.0,158.0,48.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,240.0,480.0
2.0,14.0,158.5,38.0,3.0,3.0,2.0,2.0,4.0,1.0,1.0,60.0,60.0
2.0,14.0,164.0,52.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,180.0,240.0
1.0,14.0,167.0,52.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,420.0,600.0
2.0,15.0,165.0,55.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,90.0,150.0
1.0,14.0,167.0,53.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,120.0,180.0
2.0,14.0,166.0,50.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,60.0,60.0
1.0,15.0,175.0,78.0,1.0,1.0,1.0,8.0,1.0,2.0,1.0,100.0,240.0
1.0,14.0,179.0,65.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1.0,14.0,175.0,75.0,3.0,1.0,1.0,6.0,2.0,1.0,1.0,300.0,480.0
2.0,15.0,158.0,49.8,1.0,2.0,2.0,1.0,2.0,1.0,1.0,540.0,600.0
1.0,14.0,177.0,60.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0
2.0,14.0,164.0,56.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,0.0,240.0
1.0,14.0,168.0,49.0,2.0,3.0,1.0,8.0,2.0,2.0,1.0,0.0,0.0
2.0,14.0,165.0,52.0,2.0,1.0,3.0,4.0,3.0,2.0,1.0,180.0,240.0
2.0,14.0,161.6,44.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,240.0,360.0
2.0,14.0,157.0,54.0,4.0,4.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0
2.0,14.0,170.7,63.0,2.0,2.0,4.0,8.0,5.0,1.0,1.0,0.0,0.0
1.0,15.0,173.0,57.0,2.0,3.0,2.0,4.0,3.0,2.0,1.0,0.0,0.0
2.0,14.0,151.0,55.0,1.0,4.0,1.0,7.0,1.0,2.0,1.0,0.0,0.0
2.0,15.0,167.0,50.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,60.0,120.0
2.0,15.0,151.5,54.5,3.0,2.0,2.0,4.0,3.0,1.0,1.0,180.0,240.0
1.0,15.0,172.4,74.0,2.0,3.0,1.0,6.0,3.0,1.0,1.0,60.0,60.0
2.0,14.0,157.0,48.0,3.0,4.0,2.0,5.0,3.0,1.0,1.0,0.0,0.0
2.0,15.0,160.0,56.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,180.0,240.0
1.0,15.0,169.4,64.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,30.0,60.0
2.0,12.0,155.4,49.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,60.0,140.0
2.0,13.0,157.0,41.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,90.0,120.0
2.0,13.0,162.0,50.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,120.0,120.0
2.0,13.0,165.0,55.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,90.0,130.0
1.0,12.0,158.0,38.4,1.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,120.0
2.0,12.0,155.0,42.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,120.0,120.0
2.0,12.0,150.3,47.0,3.0,2.0,3.0,4.0,2.0,1.0,1.0,250.0,240.0
1.0,12.0,166.5,48.6,2.0,1.0,2.0,4.0,4.0,1.0,1.0,240.0,300.0
1.0,13.0,161.0,56.0,2.0,1.0,2.0,8.0,4.0,1.0,1.0,220.0,310.0
1.0,12.0,164.5,44.0,1.0,3.0,1.0,8.0,2.0,1.0,1.0,60.0,60.0
2.0,13.0,154.0,41.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,300.0,420.0
2.0,12.0,161.0,46.4,1.0,1.0,2.0,1.0,4.0,1.0,1.0,150.0,180.0
2.0,13.0,163.0,55.0,1.0,2.0,3.0,6.0,4.0,1.0,1.0,120.0,240.0
2.0,13.0,160.3,37.4,1.0,1.0,3.0,3.0,2.0,1.0,1.0,60.0,190.0
2.0,13.0,161.0,54.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,60.0,60.0
2.0,12.0,157.0,56.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,90.0,120.0
1.0,13.0,164.0,60.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,180.0,300.0
1.0,12.0,156.0,43.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,60.0,120.0
1.0,13.0,157.2,39.4,1.0,1.0,2.0,1.0,3.0,1.0,1.0,60.0,180.0
