"		지점번호",지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),"	최고기온일자",평균최저기온(℃),최저기온(℃),최저기온일자
"		108",서울,Oct-07,13.9,20.2,25.4,1907-10-05,8.3,3.3,1907-10-24
"		108",서울,Nov-07,5.3,10.2,21.3,1907-11-01,0.6,-8.9,1907-11-30
"		108",서울,Dec-07,-3.9,0.8,9,1907-12-13,-8.7,-20.1,1907-12-23
"		108",서울,Jan-08,-3.5,0.1,6.2,1908-01-31,-7.5,-14.3,1908-01-22
"		108",서울,Feb-08,-4,0.8,8.4,1908-02-27,-8.8,-15.8,1908-02-07
"		108",서울,Mar-08,2.9,8.1,18.2,1908-03-29,-1.7,-7.4,1908-03-02
"		108",서울,Apr-08,10.1,16.5,22.9,1908-04-20,4.6,-0.7,1908-04-07
"		108",서울,May-08,14.9,21.1,25.2,1908-05-25,10,5.2,1908-05-04
"		108",서울,Jun-08,20.7,26.8,32.4,1908-06-23,16.3,11.6,1908-06-08
"		108",서울,Jul-08,23.5,27.6,32.9,1908-07-24,20.3,14.7,1908-07-06
"		108",서울,Aug-08,24.3,29.2,33.6,1908-08-06,21,14.8,1908-08-30
"		108",서울,Sep-08,19.3,25,28.7,1908-09-05,14.7,9,1908-09-24
"		108",서울,Oct-08,13.6,19.9,25.3,1908-10-22,7.7,-0.3,1908-10-30
"		108",서울,Nov-08,3.6,8.9,18.9,1908-11-05,-1.5,-8.6,1908-11-28
"		108",서울,Dec-08,-0.8,4.7,11.7,1908-12-14,-6,-12.7,1908-12-31
"		108",서울,Jan-09,-2.5,2,7.6,1909-01-04,-7.3,-13.6,1909-01-22
"		108",서울,Feb-09,-3.2,2.1,8.8,1909-02-14,-8.6,-13.2,1909-02-07
"		108",서울,Mar-09,1.8,7.3,15.2,1909-03-11,-3.1,-8.7,1909-03-03
"		108",서울,Apr-09,10.4,16.6,23.3,1909-04-25,4.6,-1.6,1909-04-16
"		108",서울,May-09,15.4,21.8,29.8,1909-05-30,10.2,5.7,1909-05-01
"		108",서울,Jun-09,20.6,26.7,31.7,1909-06-01,15.8,11.2,1909-06-10
"		108",서울,Jul-09,24.6,28.8,31.8,1909-07-23,21.4,15.4,1909-07-05
"		108",서울,Aug-09,25.3,29.5,35.6,1909-08-08,22.3,19.8,1909-08-31
"		108",서울,Sep-09,20.2,25.8,29.5,1909-09-19,15.8,10.1,1909-09-30
"		108",서울,Oct-09,12.2,18.4,26.5,1909-10-03,6.6,-0.8,1909-10-30
"		108",서울,Nov-09,5.2,11.4,20.3,1909-11-03,-0.8,-7,1909-11-30
"		108",서울,Dec-09,-3.4,1,11,1909-12-31,-7.8,-14.6,1909-12-26
"		108",서울,Jan-10,-2.2,1.9,8,1910-01-04,-5.6,-19.9,1910-01-31
"		108",서울,Feb-10,-3.4,2,8.3,1910-02-25,-8.2,-19.6,1910-02-02
"		108",서울,Mar-10,2.5,7.9,15,1910-03-25,-2.6,-8.6,1910-03-06
"		108",서울,Apr-10,9.9,16.5,23,1910-04-16,4.3,-1.8,1910-04-15
"		108",서울,May-10,16.3,24.3,31,1910-05-28,10.1,5.9,1910-05-19
"		108",서울,Jun-10,19.8,25.3,31.5,1910-06-30,15.6,12.4,1910-06-05
"		108",서울,Jul-10,23.3,27.2,33.3,1910-07-30,20.5,15.9,1910-07-02
"		108",서울,Aug-10,24.2,29.2,32,1910-08-05,20.8,16.7,1910-08-18
"		108",서울,Sep-10,19.1,24.4,27,1910-09-08,14.9,10.2,1910-09-28
"		108",서울,Oct-10,13.7,21.3,24.1,1910-10-03,7.2,1.3,1910-10-10
"		108",서울,Nov-10,5.5,10.9,20.2,1910-11-01,0.6,-8.4,1910-11-19
"		108",서울,Dec-10,-4.6,0.2,5.8,1910-12-27,-9.4,-16.8,1910-12-12
"		108",서울,Jan-11,-5,0,8.8,1911-01-29,-10,-21.5,1911-01-13
"		108",서울,Feb-11,-1.1,4,12.5,1911-02-28,-5.4,-11.2,1911-02-18
