Age,Employment Type,GraduateOr0t,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,TravelInsurance,AnnualIncome1
31,0,1,400000,6,1,0,0,0,40
31,1,1,1250000,7,0,0,0,0,125
34,1,1,500000,4,1,0,0,1,50
28,1,1,700000,3,1,0,0,0,70
28,1,1,700000,8,1,1,0,0,70
25,1,0,1150000,4,0,0,0,0,115
31,0,1,1300000,4,0,0,0,0,130
31,1,1,1350000,3,0,1,1,1,135
28,1,1,1450000,6,1,1,1,1,145
33,0,1,800000,3,0,1,0,0,80
31,0,1,400000,9,1,0,0,0,40
26,1,1,1400000,5,0,1,1,1,140
32,0,1,850000,6,0,0,0,1,85
31,0,1,1500000,6,0,1,1,1,150
31,0,1,400000,3,0,0,0,0,40
34,1,1,700000,7,0,0,0,0,70
28,1,1,1150000,4,1,0,0,0,115
28,1,1,800000,7,0,0,0,1,80
29,1,1,1050000,5,1,0,0,1,105
34,1,1,1500000,2,0,1,1,1,150
28,1,1,1150000,6,0,1,0,0,115
29,1,1,350000,3,0,0,0,1,35
31,1,1,1100000,4,0,0,0,0,110
28,0,1,600000,9,0,0,0,1,60
31,0,1,1500000,7,0,1,1,0,150
35,1,0,800000,4,0,0,1,0,80
34,1,0,1300000,6,0,1,0,1,130
28,1,1,1250000,2,0,1,0,0,125
26,1,1,600000,4,0,1,0,0,60
31,1,1,900000,3,0,0,0,0,90
30,1,0,550000,6,0,1,1,0,55
31,0,0,300000,4,0,0,0,0,30
25,0,1,750000,4,0,0,0,1,75
32,0,1,850000,3,0,0,0,0,85
28,1,1,800000,9,0,0,0,1,80
33,1,1,1400000,4,0,1,1,0,140
31,0,0,300000,9,1,0,0,0,30
34,1,1,700000,4,0,0,0,0,70
34,0,1,1100000,2,0,0,0,0,110
33,1,1,1500000,5,1,1,1,1,150
25,1,1,1400000,3,1,1,1,1,140
33,1,1,550000,5,0,0,0,0,55
26,1,1,1500000,2,1,1,1,1,150
28,1,1,1200000,4,0,1,0,1,120
25,1,1,1400000,7,0,0,1,1,140
34,1,0,1400000,5,1,0,1,1,140
25,1,1,1400000,4,0,0,1,1,140
35,0,1,1100000,5,0,0,0,0,110
28,1,1,600000,3,0,0,0,0,60
31,1,1,1350000,3,0,0,1,1,135
31,1,1,1250000,3,1,0,0,0,125
29,1,1,1050000,3,0,0,0,0,105
31,1,1,1250000,4,0,0,1,0,125
28,0,1,300000,2,0,0,0,0,30
29,1,1,1200000,7,0,0,0,0,120
26,1,1,750000,5,0,0,0,0,75
28,1,1,550000,3,0,0,0,1,55
34,1,1,1000000,6,0,0,0,1,100
33,1,1,1400000,6,0,1,1,1,140
33,1,1,1400000,9,0,1,1,1,140
31,1,1,1250000,4,0,1,1,0,125
32,0,1,800000,3,0,1,0,1,80
28,1,1,800000,4,0,1,0,0,80
27,0,1,500000,2,0,0,0,0,50
30,1,0,1450000,9,0,1,1,1,145
26,1,1,600000,5,1,0,0,0,60
30,1,0,800000,6,0,1,0,0,80
34,1,1,1500000,3,0,1,1,1,150
29,1,1,350000,4,0,0,0,0,35
31,0,0,300000,4,0,0,0,0,30
34,0,1,1300000,4,0,0,0,0,130
28,1,1,750000,6,0,1,0,0,75
28,1,1,800000,6,1,1,0,0,80
28,1,1,750000,7,0,1,0,0,75
28,1,1,700000,4,1,0,0,0,70
34,1,1,1300000,5,0,0,0,0,130
29,1,1,1200000,3,0,0,0,1,120
31,0,0,400000,4,0,0,0,0,40
31,0,1,1300000,3,0,0,1,1,130
31,0,0,400000,5,1,0,0,0,40
26,1,1,1300000,4,1,0,0,0,130
25,1,0,1150000,8,0,0,0,0,115
28,1,1,1250000,4,1,0,0,0,125
34,1,0,950000,4,0,1,0,1,95
32,0,1,350000,6,1,0,0,0,35
25,1,0,1700000,4,0,1,0,1,170
32,0,1,900000,4,0,0,0,0,90
28,0,1,300000,6,0,0,0,0,30
34,1,1,1050000,5,1,0,0,0,105
28,0,1,300000,8,0,0,0,0,30
27,0,1,1050000,3,0,0,0,0,105
28,0,1,300000,4,1,0,0,0,30
28,1,1,1150000,5,0,0,0,0,115
33,0,1,700000,7,0,1,0,1,70
34,1,1,1300000,4,0,0,0,0,130
26,1,1,1400000,5,0,0,1,1,140
28,1,1,700000,4,0,0,0,0,70
29,1,1,350000,7,0,0,0,0,35
29,1,1,1100000,6,0,0,0,0,110
29,0,1,600000,3,0,0,0,0,60
28,1,1,1300000,6,1,0,0,1,130
33,1,1,1500000,3,1,1,1,1,150
29,1,1,500000,3,1,0,0,0,50
26,1,1,1400000,5,0,0,1,1,140
28,1,1,1150000,3,0,0,0,0,115
28,1,1,750000,3,0,0,0,0,75
34,1,1,1300000,3,0,0,0,0,130
34,1,1,850000,3,1,0,1,0,85
26,1,1,1300000,4,0,0,0,1,130
25,1,1,1700000,3,0,1,0,1,170
31,0,1,400000,5,0,0,0,0,40
28,1,1,800000,5,0,0,0,0,80
30,1,0,800000,4,0,0,0,0,80
29,1,1,900000,4,0,1,0,0,90
29,1,1,500000,5,0,0,0,0,50
29,1,1,900000,4,0,0,0,0,90
28,1,1,1150000,5,0,0,0,1,115
31,0,1,400000,5,0,0,0,0,40
31,0,1,1500000,4,1,1,1,1,150
31,1,1,500000,4,0,0,0,0,50
28,1,1,800000,3,1,0,0,0,80
26,1,1,1400000,6,0,0,1,1,140
32,0,1,800000,6,1,0,0,0,80
27,0,1,850000,3,0,0,0,0,85
32,0,1,350000,4,1,0,0,0,35
29,1,1,500000,3,1,0,0,1,50
32,0,1,800000,5,0,1,0,0,80
27,0,1,750000,5,0,0,0,0,75
31,1,1,1350000,8,0,0,1,1,135
29,1,1,1050000,6,0,0,0,0,105
28,1,1,800000,4,0,0,0,0,80
28,1,1,750000,4,0,0,0,0,75
28,1,1,1100000,4,0,0,0,0,110
